dataset,objective_metric,custom_score_mean,custom_score_std,ref_score_mean,ref_score_std,t_statistic,p_value,conclusion
digits_binary_0_vs_1,axis,0.9916666666666666,0.012729376930432895,0.9972222222222221,0.008333333333333337,1.0,0.34343639613791355,Equivalent
breast_cancer,axis,0.9368107769423559,0.03054215653067801,0.9332393483709274,0.03306301687258444,-0.20857986304257223,0.8394203468319468,Equivalent
breast_cancer,spatial,0.9227756892230576,0.03854815890002975,0.9332393483709274,0.03306301687258444,0.5698626224333895,0.5827138583161964,Equivalent
digits_binary_0_vs_1,spatial,0.5055555555555555,0.011111111111111117,0.9972222222222221,0.008333333333333337,115.8736997153119,1.3483928993198458e-15,Not equivalent
blood-transfusion-service-center,spatial,0.7674054054054054,0.011692694192351642,0.778018018018018,0.025961081671327373,1.1952705287140586,0.2625254765664656,Equivalent
blood-transfusion-service-center,axis,0.7714054054054055,0.012262330248427471,0.778018018018018,0.025961081671327373,0.7192974098764943,0.49021211010882737,Equivalent
iris_binary_setosa_vs_rest,spatial,1.0,0.0,0.9933333333333334,0.019999999999999997,-0.9999999999999999,0.34343639613791355,Equivalent
ionosphere,axis,0.9457142857142857,0.04508495382302713,0.9458730158730159,0.029818042294196715,0.009999500037496143,0.9922398335205804,Equivalent
iris_binary_setosa_vs_versicolor,spatial,1.0,0.0,1.0,0.0,,,Equivalent
iris_binary_setosa_vs_versicolor,axis,1.0,0.0,1.0,0.0,,,Equivalent
iris_binary_setosa_vs_rest,axis,1.0,0.0,0.9933333333333334,0.019999999999999997,-1.0000000000000002,0.34343639613791355,Equivalent
diabetes,spatial,0.7681818181818182,0.05554935443547107,0.7603896103896105,0.03162861935723099,-0.40362721636980436,0.6959085740222799,Equivalent
diabetes,axis,0.7576896787423103,0.06654166934280065,0.7603896103896105,0.03162861935723099,0.13046719113281194,0.8990664294842612,Equivalent
ionosphere,spatial,0.9344444444444443,0.05278845816267741,0.9430952380952382,0.031088528409036288,0.47854449949261896,0.643673890378319,Equivalent
sonar,spatial,0.6580952380952382,0.09851620261089414,0.7152380952380952,0.07487101531460864,1.8863945370093322,0.0918637196433272,Equivalent
sonar,axis,0.7540476190476191,0.08642594774976115,0.6971428571428572,0.05610970789202071,-2.3227248750816734,0.04528334318735385,Not equivalent
banknote-authentication,axis,0.986157833492013,0.015428340570382738,1.0,0.0,2.6915726506373367,0.024732724473552615,Not equivalent
banknote-authentication,spatial,0.9788797207235798,0.013594248365621958,1.0,0.0,4.6608562772393975,0.0011837914033984785,Not equivalent
vote,spatial,0.9563424947145878,0.03293045135773537,0.9586680761099367,0.02466062576067872,0.26885973633749666,0.7940993135227148,Equivalent
vote,axis,0.9608879492600423,0.02325100853677142,0.9563953488372092,0.01906451939524306,-0.41606667838848005,0.6871072994813419,Equivalent
wpbc,spatial,0.7415024630541872,0.05300847979187311,0.7518472906403941,0.04807453369632057,0.465324967146748,0.6527527502994578,Equivalent
wpbc,axis,0.723768472906404,0.045470041689097115,0.7716748768472906,0.07037441940815475,1.5990667967541077,0.14427009005076144,Equivalent
qsar-biodeg,spatial,0.8767385444743935,0.023025293456411706,0.8834141958670262,0.04223679827066755,0.34438490014956114,0.7384670486998446,Equivalent
qsar-biodeg,axis,0.8833782569631626,0.018704766683173002,0.8834141958670262,0.04223679827066755,0.00206956777280692,0.9983938721896803,Equivalent
titanic,spatial,0.9457369348209044,0.015563244466648514,0.9427246036406342,0.015321557240852622,-0.34879472569348285,0.735264243018992,Equivalent
german_credit_g,spatial,0.7,0.0,0.7629999999999999,0.040261644278394786,4.694294120059607,0.001129211256298489,Not equivalent
titanic,axis,0.93809747504404,0.023357739416968795,0.9442395772166765,0.009026347864470395,0.763012721539553,0.46498453238057436,Equivalent
kc1,spatial,0.8534845407357257,0.008063718314296218,0.8520627397878583,0.01076158838690523,-0.4191717895493658,0.6849180230017925,Equivalent
german_credit_g,axis,0.71,0.018973665961010275,0.7629999999999999,0.040261644278394786,3.901326593254742,0.0036121097449426935,Not equivalent
kc1,axis,0.8568020762807492,0.00872035374005784,0.8520627397878583,0.013368001111203922,-0.9128709291752767,0.38511165136970027,Equivalent
digits_binary_5_vs_rest,spatial,0.8987212911235257,0.002152062534387534,0.9966666666666667,0.004444444444444429,56.8269261120161,8.145891508641009e-13,Not equivalent
digits_binary_5_vs_rest,axis,0.8987212911235257,0.002152062534387534,0.996663563004345,0.003687021516457537,65.765621594124,2.1937506420624575e-13,Not equivalent
